Langue;Certificat;Niveau;Objectif Pro;Objectif aca;Objectif mobilité;informations
Anglais;CPE;C2;professionnel;académique;mobilité;http://www.cambridgeenglish.org/exams/proficiency/ 
Anglais;DCL;A2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Anglais;DCL;B1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Anglais;DCL;B2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Anglais;DCL;C1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Anglais;ECL A2;A2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/ 
Anglais;ECL B1;B1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/ 
Anglais;ECL B2;B2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/ 
Anglais;ECL C1;C1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/ 
Anglais;FCE;B2;professionnel;académique;mobilité;http://www.cambridgeenglish.org/exams/first/ 
Anglais;IELTS (3.0);A2;professionnel;académique;mobilité;http://www.cambridgeenglish.org/exams/ielts/ 
Anglais;IELTS (3.5 - 4.5);B1;professionnel;académique;mobilité;http://www.cambridgeenglish.org/exams/ielts/ 
Anglais;IELTS (5.0 - 6.0);B2;professionnel;académique;mobilité;http://www.cambridgeenglish.org/exams/ielts/ 
Anglais;IELTS (6.5 - 7.0);C1;professionnel;académique;mobilité;http://www.cambridgeenglish.org/exams/ielts/ 
Anglais;IELTS (7.5 +);C2;professionnel;académique;mobilité;http://www.cambridgeenglish.org/exams/ielts/ 
Anglais;KET;A2;professionnel;académique;mobilité;http://www.cambridgeenglish.org/exams/key/ 
Anglais;PET;B1;professionnel;académique;mobilité;http://www.cambridgeenglish.org/exams/preliminary/ 
Anglais;TELC A1;A1;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/tests/detail/telc-english-a1.html 
Anglais;TELC A2;A2;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/tests/detail/telc-english-a2.html 
Anglais;TELC B1;B1;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/tests/detail/telc-english-b1.html 
Anglais;TELC B2;B2;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/tests/detail/telc-english-b2.html 
Anglais;TELC C1;C1;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/tests/detail/telc-english-c1.html 
Anglais;TOEFL (400);A2;;académique;mobilité;http://www.ets.org/fr/toefl/ibt/about 
Anglais;TOEFL (450);B1;;académique;mobilité;http://www.ets.org/fr/toefl/ibt/about 
Anglais;TOEFL (500);B1+;;académique;mobilité;http://www.ets.org/fr/toefl/ibt/about 
Anglais;TOEFL (550);B2;;académique;mobilité;http://www.ets.org/fr/toefl/ibt/about 
Anglais;TOEFL (600);C1;;académique;mobilité;http://www.ets.org/fr/toefl/ibt/about 
Anglais;TOEIC (120);A1;professionnel;;mobilité;http://www.etsglobal.org/Fr/Fre/Tests-et-preparation/Les-tests-TOEIC 
Anglais;TOEIC (225);A2;professionnel;;mobilité;http://www.etsglobal.org/Fr/Fre/Tests-et-preparation/Les-tests-TOEIC 
Anglais;TOEIC (550);B1;professionnel;;mobilité;http://www.etsglobal.org/Fr/Fre/Tests-et-preparation/Les-tests-TOEIC 
Anglais;TOEIC (785);B2;professionnel;;mobilité;http://www.etsglobal.org/Fr/Fre/Tests-et-preparation/Les-tests-TOEIC 
Anglais;TOEIC (945);C1;professionnel;;mobilité;http://www.etsglobal.org/Fr/Fre/Tests-et-preparation/Les-tests-TOEIC 
Arabe;ALPT;NA;professionnel;académique;mobilité;http://www.arabacademy.com/links/test_alpt_what_e.htm
Arabe;CLES-1;B1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Arabe;CLES-2;B2;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Arabe;CLES-3;C1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Arabe;DCL;A2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Arabe;DCL;B1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Arabe;DCL;B2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Arabe;DCL;C1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Bulgare;ECL A2;A2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/ 
Bulgare;ECL B1;B1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/ 
Bulgare;ECL B2;B2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/ 
Bulgare;ECL C1;C1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/ 
Chinois;DCL;A2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Chinois;DCL;B1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Chinois;DCL;B2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Chinois;DCL;C1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Chinois;HSK 1;A1;professionnel;académique;mobilité;http://french.hanban.org/tests/node_7847.htm 
Chinois;HSK 2;A2;professionnel;académique;mobilité;http://french.hanban.org/tests/node_7847.htm 
Chinois;HSK 3;B1;professionnel;académique;mobilité;http://french.hanban.org/tests/node_7847.htm 
Chinois;HSK 4;B2;professionnel;académique;mobilité;http://french.hanban.org/tests/node_7847.htm 
Chinois;HSK 5;C1;professionnel;académique;mobilité;http://french.hanban.org/tests/node_7847.htm 
Chinois;HSK 6;C2;professionnel;académique;mobilité;http://french.hanban.org/tests/node_7847.htm 
Chinois;TOCFL A;A2;professionnel;académique;mobilité;http://www.sc-top.org.tw/english/eng_index.php 
Chinois;TOCFL B;B1;professionnel;académique;mobilité;http://www.sc-top.org.tw/english/eng_index.php 
Chinois;TOCFL C;C1;professionnel;académique;mobilité;http://www.sc-top.org.tw/english/eng_index.php 
Coréen ;TOPIK-I ;A1;professionnel;académique;mobilité;http://www.topik.go.kr/usr/cmm/subLocation.do?menuSeq=2210101#none 
Coréen ;TOPIK-I;A2;professionnel;académique;mobilité;http://www.topik.go.kr/usr/cmm/subLocation.do?menuSeq=2210101#none 
Coréen ;TOPIK-II;B1;professionnel;académique;mobilité;http://www.topik.go.kr/usr/cmm/subLocation.do?menuSeq=2210101#none 
Coréen ;TOPIK-II;B2;professionnel;académique;mobilité;http://www.topik.go.kr/usr/cmm/subLocation.do?menuSeq=2210101#none 
Coréen ;TOPIK-II;C1;professionnel;académique;mobilité;http://www.topik.go.kr/usr/cmm/subLocation.do?menuSeq=2210101#none 
Coréen ;TOPIK-II;C2;professionnel;académique;mobilité;http://www.topik.go.kr/usr/cmm/subLocation.do?menuSeq=2210101#none 
Danois;Examen d'éducation superieure;C1;;académique;;https://www.studieskolen.dk/da/Dansk-for-udlaendinge/proever/studieproeven 
Espagnol;BULATS;A1;professionnel;;;http://www.bulats.org/es 
Espagnol;BULATS;A2;professionnel;;;http://www.bulats.org/es 
Espagnol;BULATS;B1;professionnel;;;http://www.bulats.org/es 
Espagnol;BULATS;B2;professionnel;;;http://www.bulats.org/es 
Espagnol;BULATS;C1;professionnel;;;http://www.bulats.org/es 
Espagnol;BULATS;C2;professionnel;;;http://www.bulats.org/es 
Espagnol;CLES-1;B1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Espagnol;CLES-2;B2;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Espagnol;CLES-3;C1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Espagnol;DCL;A2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Espagnol;DCL;B1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Espagnol;DCL;B2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Espagnol;DCL;C1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
