Langue;Certificat;Niveau;Objectif Pro;Objectif aca;Objectif mobilité;informations
Portugais;CELPE-BRAS intermedio ;B1;professionnel;académique;mobilité;http://portal.inep.gov.br/celpebras-estrutura_exame 
Portugais;CELPE-BRAS intermedio superior;B2;professionnel;académique;mobilité;http://portal.inep.gov.br/celpebras-estrutura_exame 
Portugais;CELPE-BRAS avanzado;C1;professionnel;académique;mobilité;http://portal.inep.gov.br/celpebras-estrutura_exame 
Portugais;CELPE-BRAS avanzado superior;C2;professionnel;académique;mobilité;http://portal.inep.gov.br/celpebras-estrutura_exame 
Portugais;CLES-1;B1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Portugais;CLES-2;B2;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Portugais;CLES-3;C1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Portugais;DCL;A2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Portugais;DCL;B1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Portugais;DCL;B2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Portugais;DCL;C1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Portugais;TELC B1;B1;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Polonais;CLES-1;B1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Polonais;CLES-2;B2;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Polonais;CLES-3;C1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Polonais;ECL A2;A2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Polonais;ECL B1;B1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Polonais;ECL B2;B2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Polonais;ECL C1;C1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Russe;CLES-1;B1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Russe;CLES-2;B2;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Russe;CLES-3;C1;professionnel;académique;;http://www.certification-cles.fr/fr/certification/epreuves/ 
Russe;DCL;A2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Russe;DCL;B1;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Russe;DCL;B2;professionnel;;;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Russe;DCL;C1;professionnel;académique;mobilité;http://www.education.gouv.fr/cid94137/le-diplome-de-competence-en-langue-dcl-candidats-a-l-examen.html 
Russe;ECL A2;A2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Russe;ECL B1;B1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Russe;ECL B2;B2;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Russe;ECL C1;C1;professionnel;académique;mobilité;http://eclexam.eu/parts-of-the-exam/  
Russe;TELC A1;A1;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Russe;TELC A2;A2;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Russe;TELC B1;B1;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Russe;TELC B2;B2;professionnel;académique;mobilité;https://www.telc.net/en/candidates/language-examinations/filter.html 
Russe;TORFL - TEOU;A1;professionnel;académique;mobilité;http://www.torfl.org/ru 
Russe;TORFL - TBOU ;A2;professionnel;académique;mobilité;http://www.torfl.org/ru 
Russe;TORFL - TRKI-1;B1;professionnel;académique;mobilité;http://www.torfl.org/ru 
Russe;TORFL - TRKI-2;B2;professionnel;académique;mobilité;http://www.torfl.org/ru 
Russe;TORFL - TRKI-3;C1;professionnel;académique;mobilité;http://www.torfl.org/ru 
Russe;TORFL - TRKI-4;C2;professionnel;académique;mobilité;http://www.torfl.org/ru 
Suédois;SWEDEX A2;A2;professionnel;académique;;http://www.folkuniversitetet.se/swedex 
Suédois;SWEDEX B1;B1;professionnel;académique;;http://www.folkuniversitetet.se/swedex 
Suédois;SWEDEX B2;B2;professionnel;académique;;http://www.folkuniversitetet.se/swedex 
Turc;TELC A1;A1;professionnel;académique;;https://www.telc.net/en/candidates/language-examinations/filter.html 
Turc;TELC A2;A2;professionnel;académique;;https://www.telc.net/en/candidates/language-examinations/filter.html 
Turc;TELC B1;B1;professionnel;académique;;https://www.telc.net/en/candidates/language-examinations/filter.html 
Turc;TELC B2;B2;professionnel;académique;;https://www.telc.net/en/candidates/language-examinations/filter.html 
Turc;TELC C1;C1;professionnel;académique;;https://www.telc.net/en/candidates/language-examinations/filter.html 
